buffer_size_gb,buffer_size_bytes,threads,read_ratio,duration,app_total_bandwidth_mbps,app_read_bandwidth_mbps,app_write_bandwidth_mbps,app_total_iops,app_execution_time,perf_cache_references_bandwidth_mbps,perf_cache_misses_bandwidth_mbps,perf_dram_read_bandwidth_mbps,perf_dram_write_bandwidth_mbps,perf_mem_loads_bandwidth_mbps,perf_mem_stores_bandwidth_mbps,perf_offcore_data_read_bandwidth_mbps,perf_offcore_rfo_bandwidth_mbps,perf_cache_miss_rate_pct,perf_l3_hit_rate_pct,perf_l3_miss_rate_pct,perf_instructions_per_cycle,status
1.0,1073741824,4,0.0,20,15974.5,0.0,15974.5,4089470.0,20.0001,15736.989882799573,12808.396535612737,0,0,9585.883787799914,5265.617867166091,321.0961006075652,15406.381356533406,81.39038425393048,67.65598389130189,32.34401610869812,0.05669896065175135,success
1.0,1073741824,4,0.15,20,15491.2,0.0,15491.2,3965740.0,20.0001,15333.732844613225,12837.629181868535,0,0,10893.82332538042,6135.14486435052,370.967932840057,14935.239581991087,83.72148720706598,44.60857469538615,55.39142530461384,0.06427383380778016,success
1.0,1073741824,4,0.25,20,16075.7,4511.59,11564.1,4115390.0,20.0001,15977.53983244808,13367.102341008675,0,0,11154.954051753388,6273.97234920049,4744.6127154172855,11206.376066081337,83.66183080239936,32.82875700738248,67.17124299261752,0.06584724459560608,success
1.0,1073741824,4,0.35,20,16659.1,4660.03,11999.0,4264720.0,20.0002,16488.52538886618,13393.178635748385,0,0,9862.086265652344,5404.889626127528,4857.723996755209,11616.47949981949,81.22726756870618,36.27388424483704,63.72611575516296,0.05876965031469837,success
1.0,1073741824,4,0.45,20,19368.9,5561.53,13807.4,4958450.0,20.0001,19144.905564823344,15546.82538434085,0,0,11384.545387408974,6225.735750519981,5782.626655393573,13354.330324990648,81.2060698429687,35.917267312043045,64.08273268795696,0.06748927539890984,success
1.0,1073741824,4,0.5,20,22224.1,11996.5,10227.6,5689370.0,20.0002,22074.731609104085,18050.27476502388,0,0,12683.237807124267,6911.8763038570205,12140.843223521704,9904.745437589778,81.76894326352566,32.55476566403599,67.44523433596402,0.07601545539922958,success
1.0,1073741824,4,0.55,20,22189.3,11980.8,10208.5,5680460.0,20.0001,22046.042976793742,17922.536848432384,0,0,12696.788358126361,6903.686963821477,12129.658600989953,9891.169956355245,81.29593536263233,33.30504439049469,66.69495560950531,0.07514078691987627,success
1.0,1073741824,4,0.65,20,21708.0,11693.4,10014.7,5557260.0,20.0001,21626.253362544725,18105.01904254018,0,0,13573.277161811704,7516.210496390778,11853.982845124488,9724.672802363344,83.7177792150392,30.6888711155607,69.3111288844393,0.08069680220365444,success
1.0,1073741824,4,0.75,20,23488.2,18189.5,5298.71,6012980.0,20.0002,23480.783639871293,19654.40607291661,0,0,14339.895491592857,7903.703829383474,18232.118969604384,5188.519942057499,83.70421692205645,30.20662033248327,69.79337966751673,0.0856941648409596,success
1.0,1073741824,4,0.85,20,23318.1,18070.8,5247.23,5969430.0,20.0001,23313.709260086987,19512.775416844135,0,0,14263.252502947147,7865.2817087978065,18120.14859046845,5141.630888189705,83.69657182887649,29.961396399187905,70.03860360081208,0.08531419429943428,success
