buffer_size_gb,buffer_size_bytes,threads,read_ratio,duration,app_total_bandwidth_mbps,app_read_bandwidth_mbps,app_write_bandwidth_mbps,app_total_iops,app_execution_time,perf_cache_references_bandwidth_mbps,perf_cache_misses_bandwidth_mbps,perf_dram_read_bandwidth_mbps,perf_dram_write_bandwidth_mbps,perf_mem_loads_bandwidth_mbps,perf_mem_stores_bandwidth_mbps,perf_offcore_data_read_bandwidth_mbps,perf_offcore_rfo_bandwidth_mbps,perf_cache_miss_rate_pct,perf_l3_hit_rate_pct,perf_l3_miss_rate_pct,perf_instructions_per_cycle,status
1.0,1073741824,4,0.0,20,12487.3,0.0,12487.3,3196760.0,20.0001,11990.397372289717,9871.956206993353,0,0,6752.639105716344,3704.112785663066,249.92293476539422,11732.935335462822,82.33218550210717,60.21023073805131,39.78976926194869,0.040616145250316274,success
1.0,1073741824,4,0.15,20,12407.6,0.0,12407.6,3176340.0,20.0001,11929.30785740771,9808.324078616355,0,0,6727.975182615346,3689.8938030422537,248.57887450184356,11676.591407264914,82.2203953142655,55.083288134658346,44.91671186534166,0.0404615522406752,success
1.0,1073741824,4,0.25,20,12856.1,3897.92,8958.16,3291160.0,20.0001,12415.1121653478,10329.389076656724,0,0,6927.704895870178,3787.8398183035906,3941.397398999508,8469.300189347337,83.20012690249709,34.325476272181156,65.67452372781885,0.04172294878444854,success
1.0,1073741824,4,0.35,20,12890.1,3815.79,9074.3,3299860.0,20.0001,12452.764144410856,10249.78951237911,0,0,6946.330797935336,3799.3348619167787,3866.11561917903,8581.047615478774,82.30935231339379,35.05979583434126,64.94020416565873,0.04210761970596422,success
1.0,1073741824,4,0.45,20,13044.9,3820.71,9224.22,3339500.0,20.0001,12601.204209481108,10363.80560681946,0,0,6980.900602910597,3819.3676257107145,3872.485411193575,8723.435131196327,82.24456515847719,35.49992138480596,64.50007861519404,0.04216354917649278,success
1.0,1073741824,4,0.5,20,13900.3,7765.04,6135.26,3558480.0,20.0001,13491.196581590686,11113.019261911604,0,0,7369.114516511278,4016.621536985255,7661.229515911189,5818.454910218596,82.37237664356469,33.044888736417676,66.95511126358232,0.04439036672798334,success
1.0,1073741824,4,0.55,20,13887.7,7878.56,6009.18,3555260.0,20.0001,13463.711138847075,11189.026839837887,0,0,7343.113156941233,4003.4643920665812,7757.665595339464,5693.68459838369,83.10507202991008,28.970273927776134,71.02972607222387,0.04442165553509257,success
1.0,1073741824,4,0.65,20,13867.7,7792.96,6074.72,3550120.0,20.0001,13424.415506017207,11159.099204509976,0,0,7326.821039982965,3989.4215526595626,7665.540202093285,5746.314898652391,83.12540087505596,28.553315727834477,71.44668427216551,0.04470007663492352,success
1.0,1073741824,4,0.75,20,14853.2,11706.1,3147.11,3802430.0,20.0001,14445.943353066496,11896.487233576254,0,0,7759.436531332314,4222.987534597115,11429.456122234269,2999.534816685944,82.35175054214055,32.421117266524114,67.5788827334759,0.0473705750743404,success
1.0,1073741824,4,0.85,20,15126.6,11913.0,3213.56,3872410.0,20.0001,14720.288850871897,12119.340609575489,0,0,7857.9040744408185,4258.855134972272,11638.662867382927,3063.036885240569,82.33086138698731,32.271094131973804,67.7289058680262,0.047945795007232055,success
1.0,1073741824,4,0.95,20,14584.0,11522.0,3062.05,3733510.0,20.0001,14187.475221115845,11685.192225105317,0,0,7650.923258828654,4159.925031109536,11252.05393234538,2920.0192015999323,82.36273221970974,32.17759902023145,67.82240097976856,0.04647433628253115,success
1.0,1073741824,4,1.0,20,15863.4,15863.4,0.0,4061040.0,20.0001,15447.465730455724,12721.70298634439,0,0,8165.699332822129,4422.534574976329,15355.618764384466,75.70152849311553,82.35462831461533,32.077697977448274,67.92230202255173,0.05061157988826473,success
1.0,1073741824,16,0.0,20,42534.9,0.0,42534.9,10888900.0,20.0001,41045.878699647765,33460.62886345027,0,0,20480.993164657288,10849.756555796055,891.3202218692034,40236.05169358381,81.52006955021629,57.67382201500551,42.32617798499448,0.031249898357484176,success
1.0,1073741824,16,0.15,20,44380.3,7060.31,37320.0,11361400.0,20.0001,42874.36802852261,34982.869813409096,0,0,21214.632132809693,11217.148791803209,7624.117947869286,35228.39380433111,81.59390195591078,34.349630581519044,65.65036941848096,0.03253343185871056,success
1.0,1073741824,16,0.25,20,46882.9,14318.1,32564.8,12002000.0,20.0001,45464.921246831604,37088.02062695423,0,0,22256.748830242544,11758.983319389466,14616.706812974691,30814.669889084955,81.57502445808998,29.50145030656809,70.49854969343191,0.034156809067575386,success
1.0,1073741824,16,0.35,20,47744.9,17931.8,29813.1,12222700.0,20.0001,46265.85879686519,37740.10988100605,0,0,22578.766354435913,11913.503131363532,18050.984661487753,28175.077611997705,81.57226702892886,28.789555202290074,71.21044479770993,0.03470144496657648,success
1.0,1073741824,16,0.45,20,49744.0,25462.4,24281.6,12734500.0,20.0001,48342.474075707214,39362.00601370142,0,0,23475.434528298025,12388.273957193542,25304.583595549746,22988.822231034916,81.42323446677173,34.14740593635771,65.8525940636423,0.036011431813381276,success
1.0,1073741824,16,0.5,20,51116.8,29176.4,21940.4,13085900.0,20.0001,49773.53799096703,40603.905818547384,0,0,24042.459168741585,12672.90662098296,28898.749909661976,20818.06075168936,81.57729479852574,26.139402705075426,73.86059729492457,0.03682455939007728,success
1.0,1073741824,16,0.55,20,51062.3,29190.1,21872.2,13071900.0,20.0001,49674.68158095002,40454.36050175155,0,0,24042.719954713724,12675.44191263904,28887.358803440693,20727.330853510033,81.43859047355339,34.21300169710259,65.7869983028974,0.03693534522718071,success
1.0,1073741824,16,0.65,20,53095.3,36744.6,16350.6,13592400.0,20.0001,51794.73692263746,42191.92957497981,0,0,24869.21093747686,13089.060792202516,36176.10103286746,15551.804865072807,81.45987813008732,31.96234947673617,68.03765052326384,0.03852915204018395,success
1.0,1073741824,16,0.75,20,55407.5,44344.8,11062.8,14184300.0,20.0001,54200.082032727776,44233.589310561685,0,0,25905.123293131935,13624.067475600154,43537.191734167835,10581.901615768882,81.6116648750679,26.711006073302627,73.28899392669737,0.039765459967008726,success
1.0,1073741824,16,0.85,20,56423.0,48157.9,8265.11,14444300.0,20.0001,55240.89292393232,45103.45130774801,0,0,26333.17187504283,13839.227392968345,47211.52874460103,7943.632308073512,81.64866445923721,26.88475196759314,73.11524803240685,0.040475020544894276,success
1.0,1073741824,16,0.95,20,58526.6,55603.8,2922.86,14982800.0,20.0001,57218.47536449678,46637.884136558634,0,0,27112.997738585807,14239.107734559359,54230.83704651593,2891.39861492066,81.50843558739204,28.109274708987638,71.89072529101236,0.04161402984291281,success
1.0,1073741824,16,1.0,20,59561.9,59561.9,0.0,15247800.0,20.0002,58365.29436566191,47703.09845548291,0,0,27620.09559852099,14504.290803633365,58098.32994414787,178.1362913843864,81.73195899025245,27.30451790511387,72.69548209488613,0.04259374373955018,success
1.0,1073741824,64,0.0,20,56821.7,0.0,56821.7,14546300.0,20.0002,1671.4627249476391,966.9651594684627,0,0,29619.273063434768,15859.264863366769,1038.3183504593342,53167.20670348681,57.85143425790451,39.91271369172473,60.08728630827527,0.016747437655643408,success
1.0,1073741824,64,0.15,20,63302.0,8538.76,54763.3,16205300.0,20.0001,9981.048894849928,7731.873694437045,0,0,32348.51119657353,17255.470572378792,9354.848144040587,51218.63937625926,77.46554270890884,30.615927014614996,69.384072985385,0.018268785141727317,success
1.0,1073741824,64,0.25,20,70260.0,18037.2,52222.8,17986600.0,20.0002,19200.508543654025,15000.292698579447,0,0,35304.508427668705,18773.59510772274,18548.000222302253,48879.69204549379,78.12445521677188,31.202509909352493,68.7974900906475,0.019963814356730655,success
1.0,1073741824,64,0.35,20,74951.5,24387.9,50563.6,19187600.0,20.0002,25304.787000787423,19947.023511261577,0,0,37000.78851013157,19615.625332864816,24680.191232661407,47131.4042033848,78.82707533021667,32.03307413205049,67.96692586794951,0.021020502110173436,success
1.0,1073741824,64,0.45,20,78785.9,29761.4,49024.4,20169200.0,20.0002,30777.590870326923,24428.76841121669,0,0,38805.77310050882,20555.02713868306,29919.291422873932,45857.48529224557,79.37193172181902,30.978418140542697,69.0215818594573,0.022006062515079573,success
1.0,1073741824,64,0.5,20,81646.2,39108.6,42537.6,20901400.0,20.0002,48145.7930025809,38037.95939034881,0,0,39943.67783849331,21151.34955772064,38720.20204174868,39974.31381199827,79.0057801899945,30.534807882691172,69.46519211730883,0.022717530574219942,success
1.0,1073741824,64,0.55,20,79150.1,48026.6,31123.6,20262400.0,20.0001,69536.04947065238,55397.2997857208,0,0,38780.69958209163,20538.675236906565,47226.27877959889,29134.170588765315,79.66702193673108,28.063479403585422,71.93652059641458,0.022050916395434203,success
1.0,1073741824,64,0.65,20,77227.0,54332.8,22894.2,19770100.0,20.0002,74929.8062592031,59612.83550945059,0,0,38119.66787906091,20203.422088133637,53435.10577764801,21482.097627235136,79.55824055280907,27.287926183895046,72.71207381610495,0.02162319292510347,success
