buffer_size_gb,buffer_size_bytes,threads,read_ratio,duration,app_total_bandwidth_mbps,app_read_bandwidth_mbps,app_write_bandwidth_mbps,app_total_iops,app_execution_time,perf_cache_references_bandwidth_mbps,perf_cache_misses_bandwidth_mbps,perf_dram_read_bandwidth_mbps,perf_dram_write_bandwidth_mbps,perf_mem_loads_bandwidth_mbps,perf_mem_stores_bandwidth_mbps,perf_offcore_data_read_bandwidth_mbps,perf_offcore_rfo_bandwidth_mbps,perf_cache_miss_rate_pct,perf_l3_hit_rate_pct,perf_l3_miss_rate_pct,perf_instructions_per_cycle,status
1.0,1073741824,4,0.0,30,16940.1,0.0,16940.1,4336670.0,30.0001,16727.974040537567,13914.49621215237,0,0,8523.4591127513,4556.202786280077,336.0526081482359,16385.42135393474,83.18100075019733,49.99808192950916,50.00191807049084,0.05045728835482985,success
1.0,1073741824,4,0.25,30,18242.6,5255.41,12987.2,4670100.0,30.0001,18117.465734127956,14896.368964623343,0,0,9092.687388733775,4845.996760998957,5488.408748174642,12627.511306521643,82.22104119431552,31.960557204209145,68.03944279579086,0.05382582526833636,success
1.0,1073741824,4,0.5,30,19236.4,10623.7,8612.64,4924510.0,30.0001,19169.355543382753,15770.63681092288,0,0,9516.611831021417,5057.073791415975,10785.824296454239,8370.670639587264,82.27004176135118,32.40291894731599,67.597081052684,0.05654765266968216,success
1.0,1073741824,4,0.75,30,20654.4,16098.3,4556.15,5287530.0,30.0001,20664.33926161141,17003.969857215197,0,0,10122.779728272722,5372.854930237776,16203.096242627289,4438.751181562429,82.28654031442389,30.395787527496047,69.60421247250395,0.0603775790062036,success
1.0,1073741824,4,1.0,30,21468.2,21468.2,0.0,5495850.0,30.0001,21556.670485058312,17746.73249516552,0,0,10484.959932404568,5566.398754673818,21467.934702323848,68.96172290332645,82.32594410842069,29.56926653294593,70.43073346705407,0.06256734481234515,success
1.0,1073741824,8,0.0,30,32091.6,0.0,32091.6,8215440.0,30.0001,31824.535566807906,26359.104356261472,0,0,15417.061796138258,8118.954598628289,668.7596874226653,31148.36442532137,82.82635987232842,46.520510708619376,53.479489291380624,0.04578948504928429,success
1.0,1073741824,8,0.25,30,35452.7,10485.3,24967.4,9075890.0,30.0001,35287.68164508032,28779.923798048905,0,0,16870.353076655665,8871.338200022356,10998.946557165553,24276.16925948639,81.55798980367783,34.39033346980433,65.60966653019568,0.05031085870116333,success
1.0,1073741824,8,0.5,30,38077.6,21232.1,16845.5,9747860.0,30.0001,38082.12623285261,31084.097894293427,0,0,18014.34254286274,9448.05131093269,21632.115282306502,16413.218896246653,81.62385079086751,32.13915644159545,67.86084355840455,0.05373973599487887,success
1.0,1073741824,8,0.75,30,40197.4,31775.3,8422.1,10290500.0,30.0001,40310.20766261804,33359.202850572925,0,0,18912.956953452733,9912.09520145408,32021.74175304574,8230.991691978159,82.75621681182463,23.969807021843092,76.0301929781569,0.05674615084788762,success
1.0,1073741824,8,1.0,30,42423.0,42423.0,0.0,10860300.0,30.0001,42667.632514772326,35303.02958750914,0,0,19884.090010640382,10405.893460316654,42499.812803091234,116.64796255894385,82.73960261396405,24.67226648070417,75.32773351929583,0.05956486450281726,success
