scheduler,threads,read_ratio,bandwidth_mbps,execution_time,array_size_gb,duration
default,4,0.0,14836.1,20.0001,64.0,20
default,4,0.05,14632.4,20.0001,64.0,20
default,4,0.15,14742.9,20.0001,64.0,20
default,4,0.25,14980.0,20.0001,64.0,20
default,4,0.35,14902.2,20.0001,64.0,20
default,4,0.4,14768.3,20.0001,64.0,20
default,4,0.45,14982.7,20.0001,64.0,20
default,4,0.5,15268.3,20.0001,64.0,20
default,4,0.55,15321.4,20.0001,64.0,20
default,4,0.6,15271.8,20.0001,64.0,20
default,4,0.65,15280.6,20.0001,64.0,20
default,4,0.75,15091.2,20.0001,64.0,20
default,4,0.85,15667.0,20.0001,64.0,20
default,4,0.95,15508.9,20.0001,64.0,20
default,4,1.0,15438.5,20.0001,64.0,20
default,16,0.0,47662.7,20.0,64.0,20
default,16,0.05,47932.1,20.0001,64.0,20
default,16,0.15,47990.9,20.0001,64.0,20
default,16,0.25,50435.7,20.0001,64.0,20
default,16,0.35,51211.7,20.0001,64.0,20
default,16,0.4,51711.3,20.0001,64.0,20
default,16,0.45,52753.1,20.0001,64.0,20
default,16,0.5,53812.6,20.0,64.0,20
default,16,0.55,53542.2,20.0001,64.0,20
default,16,0.6,54456.0,20.0001,64.0,20
default,16,0.65,55340.0,20.0001,64.0,20
default,16,0.75,56811.0,20.0001,64.0,20
default,16,0.85,58196.4,20.0001,64.0,20
default,16,0.95,59893.9,20.0001,64.0,20
default,16,1.0,60359.8,20.0001,64.0,20
default,64,0.0,66646.3,20.0001,64.0,20
default,64,0.05,69064.7,20.0001,64.0,20
default,64,0.15,74952.0,20.0001,64.0,20
default,64,0.25,81745.7,20.0002,64.0,20
default,64,0.35,86264.1,20.0001,64.0,20
default,64,0.4,91796.4,20.0001,64.0,20
default,64,0.45,94199.2,20.0001,64.0,20
default,64,0.5,95454.4,20.0001,64.0,20
default,64,0.55,90713.0,20.0001,64.0,20
default,64,0.6,79841.0,20.0001,64.0,20
default,64,0.65,70706.7,20.0001,64.0,20
default,64,0.75,69953.5,20.0001,64.0,20
default,64,0.85,70465.9,20.0001,64.0,20
default,64,0.95,71852.6,20.0001,64.0,20
default,64,1.0,72736.2,20.0001,64.0,20
default,96,0.0,66646.5,20.0002,64.0,20
default,96,0.05,69058.2,20.0001,64.0,20
default,96,0.15,75157.6,20.0001,64.0,20
default,96,0.25,80481.0,20.0007,64.0,20
default,96,0.35,86103.0,20.0001,64.0,20
default,96,0.4,92327.0,20.0001,64.0,20
default,96,0.45,95207.9,20.0001,64.0,20
default,96,0.5,96962.4,20.0001,64.0,20
default,96,0.55,94505.6,20.0001,64.0,20
default,96,0.6,85304.7,20.0001,64.0,20
default,96,0.65,72175.0,20.0001,64.0,20
default,96,0.75,69934.2,20.0001,64.0,20
default,96,0.85,70847.8,20.0001,64.0,20
default,96,0.95,72080.1,20.0001,64.0,20
default,96,1.0,72738.1,20.0001,64.0,20
default,128,0.0,66655.6,20.0001,64.0,20
default,128,0.05,69048.0,20.0001,64.0,20
default,128,0.15,75052.8,20.0002,64.0,20
default,128,0.25,81030.1,20.0001,64.0,20
default,128,0.35,88079.4,20.0002,64.0,20
default,128,0.4,91652.4,20.0001,64.0,20
default,128,0.45,95491.2,20.0001,64.0,20
default,128,0.5,94494.5,20.0001,64.0,20
default,128,0.55,94004.3,20.0001,64.0,20
default,128,0.6,81025.6,20.0002,64.0,20
default,128,0.65,72586.8,20.0001,64.0,20
default,128,0.75,69837.8,20.0001,64.0,20
default,128,0.85,70395.3,20.0001,64.0,20
default,128,0.95,72034.9,20.0001,64.0,20
default,128,1.0,72779.7,20.0001,64.0,20
default,172,0.0,66672.5,20.0002,64.0,20
default,172,0.05,69045.0,20.0001,64.0,20
default,172,0.15,74399.5,20.0002,64.0,20
default,172,0.25,81057.6,20.0002,64.0,20
default,172,0.35,88117.9,20.0001,64.0,20
default,172,0.4,90773.8,20.0001,64.0,20
default,172,0.45,94752.7,20.0001,64.0,20
default,172,0.5,95068.5,20.0001,64.0,20
default,172,0.55,92433.1,20.0001,64.0,20
default,172,0.6,80440.7,20.0001,64.0,20
default,172,0.65,74376.4,20.0001,64.0,20
default,172,0.75,69839.9,20.0001,64.0,20
default,172,0.85,70824.7,20.0001,64.0,20
default,172,0.95,72047.6,20.0001,64.0,20
default,172,1.0,72757.7,20.0001,64.0,20
default,256,0.0,66724.4,20.0002,64.0,20
default,256,0.05,69266.2,20.0001,64.0,20
default,256,0.15,74746.5,20.0001,64.0,20
default,256,0.25,81137.6,20.0001,64.0,20
default,256,0.35,87395.4,20.0001,64.0,20
default,256,0.4,91887.8,20.0001,64.0,20
default,256,0.45,93892.6,20.0001,64.0,20
default,256,0.5,94648.7,20.0001,64.0,20
default,256,0.55,90604.3,20.0001,64.0,20
default,256,0.6,80315.5,20.0001,64.0,20
default,256,0.65,72958.2,20.0001,64.0,20
default,256,0.75,69873.6,20.0001,64.0,20
default,256,0.85,70871.0,20.0001,64.0,20
default,256,0.95,72087.2,20.0001,64.0,20
default,256,1.0,72743.4,20.0001,64.0,20
default,512,0.0,66806.1,20.0001,64.0,20
default,512,0.05,69312.5,20.0002,64.0,20
default,512,0.15,74851.0,20.0002,64.0,20
default,512,0.25,81317.3,20.0001,64.0,20
default,512,0.35,88500.8,20.0001,64.0,20
default,512,0.4,91829.6,20.0001,64.0,20
default,512,0.45,94424.7,20.0001,64.0,20
default,512,0.5,95179.8,20.0001,64.0,20
default,512,0.55,89327.8,20.0001,64.0,20
default,512,0.6,81376.9,20.0001,64.0,20
default,512,0.65,73760.3,20.0001,64.0,20
default,512,0.75,69999.0,20.0001,64.0,20
default,512,0.85,70894.6,20.0001,64.0,20
default,512,0.95,72137.3,20.0001,64.0,20
default,512,1.0,72812.1,20.0001,64.0,20
scx_rustland,4,0.0,14573.7,20.0001,64.0,20
scx_rustland,4,0.05,14479.0,20.0001,64.0,20
scx_rustland,4,0.15,14618.5,20.0001,64.0,20
scx_rustland,4,0.25,14602.3,20.0001,64.0,20
scx_rustland,4,0.35,14569.3,20.0001,64.0,20
scx_rustland,4,0.4,14563.6,20.0001,64.0,20
scx_rustland,4,0.45,14763.8,20.0001,64.0,20
scx_rustland,4,0.5,15113.1,20.0001,64.0,20
scx_rustland,4,0.55,15057.2,20.0001,64.0,20
scx_rustland,4,0.6,14934.9,20.0001,64.0,20
scx_rustland,4,0.65,15022.8,20.0001,64.0,20
scx_rustland,4,0.75,15303.2,20.0001,64.0,20
scx_rustland,4,0.85,15318.6,20.0001,64.0,20
scx_rustland,4,0.95,15288.7,20.0001,64.0,20
scx_rustland,4,1.0,15339.1,20.0001,64.0,20
scx_rustland,16,0.0,45131.1,20.0001,64.0,20
scx_rustland,16,0.05,47498.3,20.0001,64.0,20
scx_rustland,16,0.15,41666.8,20.0001,64.0,20
scx_rustland,16,0.25,50012.1,20.0001,64.0,20
scx_rustland,16,0.35,50869.8,20.0001,64.0,20
scx_rustland,16,0.4,50713.0,20.0001,64.0,20
scx_rustland,16,0.45,52037.2,20.0001,64.0,20
scx_rustland,16,0.5,53177.9,20.0001,64.0,20
scx_rustland,16,0.55,53019.9,20.0001,64.0,20
scx_rustland,16,0.6,53933.9,20.0001,64.0,20
scx_rustland,16,0.65,49391.1,20.0001,64.0,20
scx_rustland,16,0.75,56676.5,20.0001,64.0,20
scx_rustland,16,0.85,56948.2,20.0001,64.0,20
scx_rustland,16,0.95,59110.1,20.0001,64.0,20
scx_rustland,16,1.0,59122.7,20.0001,64.0,20
scx_rustland,64,0.0,66439.5,20.0001,64.0,20
scx_rustland,64,0.05,68989.3,20.0002,64.0,20
scx_rustland,64,0.15,53272.1,20.0001,64.0,20
scx_rustland,64,0.25,80816.4,20.0001,64.0,20
scx_rustland,64,0.35,86886.8,20.0002,64.0,20
scx_rustland,64,0.4,63040.9,20.0008,64.0,20
scx_rustland,64,0.45,89422.9,20.0001,64.0,20
scx_rustland,64,0.5,89499.6,20.0001,64.0,20
scx_rustland,64,0.55,81272.7,20.0001,64.0,20
scx_rustland,64,0.6,72519.7,20.0002,64.0,20
scx_rustland,64,0.65,69191.1,20.0001,64.0,20
scx_rustland,64,0.75,69492.4,20.0001,64.0,20
scx_rustland,64,0.85,70555.1,20.0001,64.0,20
scx_rustland,64,0.95,71708.2,20.0001,64.0,20
scx_rustland,64,1.0,72536.7,20.0001,64.0,20
scx_rustland,96,0.0,66621.6,20.001,64.0,20
scx_rustland,96,0.05,68116.6,20.0005,64.0,20
scx_rustland,96,0.15,74345.5,20.0005,64.0,20
scx_rustland,96,0.25,81173.5,20.0003,64.0,20
scx_rustland,96,0.35,87565.0,20.0003,64.0,20
scx_rustland,96,0.4,90503.9,20.0011,64.0,20
scx_rustland,96,0.45,91654.9,20.0004,64.0,20
scx_rustland,96,0.5,88973.0,20.0001,64.0,20
scx_rustland,96,0.55,79889.7,20.0001,64.0,20
scx_rustland,96,0.6,71825.6,20.0001,64.0,20
scx_rustland,96,0.65,69223.7,20.0002,64.0,20
scx_rustland,96,0.75,69252.6,20.0001,64.0,20
scx_rustland,96,0.85,70335.7,20.0002,64.0,20
scx_rustland,96,0.95,71683.7,20.0001,64.0,20
scx_rustland,96,1.0,72372.0,20.0001,64.0,20
scx_rustland,128,0.0,66449.6,20.0013,64.0,20
scx_rustland,128,0.05,68868.8,20.0006,64.0,20
scx_rustland,128,0.15,74157.2,20.0004,64.0,20
scx_rustland,128,0.25,80795.2,20.0004,64.0,20
scx_rustland,128,0.35,86502.7,20.0008,64.0,20
scx_rustland,128,0.4,89359.0,20.0009,64.0,20
scx_rustland,128,0.45,90556.8,20.001,64.0,20
scx_rustland,128,0.5,85886.0,20.0009,64.0,20
scx_rustland,128,0.55,74026.7,20.0005,64.0,20
scx_rustland,128,0.6,71605.8,20.0001,64.0,20
scx_rustland,128,0.65,68892.8,20.0001,64.0,20
scx_rustland,128,0.75,69231.4,20.0002,64.0,20
scx_rustland,128,0.85,70169.4,20.0019,64.0,20
scx_rustland,128,0.95,71390.3,20.0001,64.0,20
scx_rustland,128,1.0,72146.3,20.0001,64.0,20
scx_rustland,172,0.0,66835.0,20.0005,64.0,20
scx_rustland,172,0.05,68245.2,20.0006,64.0,20
scx_rustland,172,0.15,74738.7,20.0004,64.0,20
scx_rustland,172,0.25,81079.7,20.0002,64.0,20
scx_rustland,172,0.35,87880.1,20.0006,64.0,20
scx_rustland,172,0.4,88667.5,20.0002,64.0,20
scx_rustland,172,0.45,90780.8,20.0006,64.0,20
