scheduler,threads,read_ratio,bandwidth_mbps,execution_time,array_size_gb,duration
default,172,0.0,36177.9,20.0001,32.0,20
default,172,0.15,41058.8,20.0001,32.0,20
default,172,0.25,45270.7,20.0001,32.0,20
default,172,0.35,50099.1,20.0001,32.0,20
default,172,0.45,55464.9,20.0001,32.0,20
default,172,0.5,57840.7,20.0001,32.0,20
default,172,0.55,60772.2,20.0001,32.0,20
default,172,0.65,62907.6,20.0001,32.0,20
default,172,0.75,49777.2,20.0001,32.0,20
default,172,0.85,48378.5,20.0001,32.0,20
default,172,0.95,48665.2,20.0001,32.0,20
default,172,1.0,48821.8,20.0001,32.0,20
scx_bpfland,172,0.0,36186.7,20.0001,32.0,20
scx_bpfland,172,0.15,41115.0,20.0001,32.0,20
scx_bpfland,172,0.25,45365.1,20.0002,32.0,20
scx_bpfland,172,0.35,50198.4,20.0001,32.0,20
scx_bpfland,172,0.45,54582.1,20.0001,32.0,20
scx_bpfland,172,0.5,53712.6,20.0002,32.0,20
scx_bpfland,172,0.55,50696.0,20.0001,32.0,20
scx_bpfland,172,0.65,47675.1,20.0001,32.0,20
scx_bpfland,172,0.75,47859.0,20.0001,32.0,20
scx_bpfland,172,0.85,48057.3,20.0001,32.0,20
scx_bpfland,172,0.95,48184.2,20.0001,32.0,20
scx_bpfland,172,1.0,48312.5,20.0001,32.0,20
scx_central,172,0.0,36181.6,20.0001,32.0,20
scx_central,172,0.15,40862.5,20.0001,32.0,20
scx_central,172,0.25,44487.0,20.0001,32.0,20
scx_central,172,0.35,48533.1,20.0002,32.0,20
scx_central,172,0.45,49267.5,20.0001,32.0,20
scx_central,172,0.5,51522.0,20.0004,32.0,20
scx_central,172,0.55,49920.3,20.0004,32.0,20
scx_central,172,0.65,51641.4,20.0001,32.0,20
scx_central,172,0.75,50888.4,20.0002,32.0,20
scx_central,172,0.85,48742.7,20.0001,32.0,20
scx_central,172,0.95,48715.2,20.0002,32.0,20
scx_central,172,1.0,48878.3,20.0002,32.0,20
scx_chaos,172,0.0,36265.3,20.0001,32.0,20
scx_chaos,172,0.15,41473.3,20.0001,32.0,20
scx_chaos,172,0.25,42806.7,20.0001,32.0,20
scx_chaos,172,0.35,49338.8,20.0001,32.0,20
scx_chaos,172,0.45,49645.0,20.0001,32.0,20
scx_chaos,172,0.5,55336.8,20.0002,32.0,20
scx_chaos,172,0.55,59305.4,20.0001,32.0,20
scx_chaos,172,0.65,62069.8,20.0001,32.0,20
scx_chaos,172,0.75,48702.4,20.0001,32.0,20
scx_chaos,172,0.85,48400.0,20.0001,32.0,20
scx_chaos,172,0.95,48674.1,20.0001,32.0,20
scx_chaos,172,1.0,48975.2,20.0044,32.0,20
scx_flash,172,0.0,33933.5,20.0001,32.0,20
scx_flash,172,0.15,38015.1,20.0001,32.0,20
scx_flash,172,0.25,42144.9,20.0001,32.0,20
scx_flash,172,0.35,46822.1,20.0001,32.0,20
scx_flash,172,0.45,48022.0,20.0001,32.0,20
scx_flash,172,0.5,45328.3,20.0001,32.0,20
scx_flash,172,0.55,44594.0,20.0001,32.0,20
scx_flash,172,0.65,44272.4,20.0001,32.0,20
scx_flash,172,0.75,44046.5,20.0001,32.0,20
scx_flash,172,0.85,44139.7,20.0001,32.0,20
scx_flash,172,0.95,44525.4,20.0001,32.0,20
scx_flash,172,1.0,44491.2,20.0001,32.0,20
scx_flatcg,172,0.0,36123.3,20.0001,32.0,20
scx_flatcg,172,0.15,40891.2,20.0001,32.0,20
scx_flatcg,172,0.25,44222.4,20.0001,32.0,20
scx_flatcg,172,0.35,45743.7,20.0001,32.0,20
scx_flatcg,172,0.45,47872.7,20.0001,32.0,20
scx_flatcg,172,0.5,47465.2,20.0001,32.0,20
scx_flatcg,172,0.55,47354.5,20.0001,32.0,20
scx_flatcg,172,0.65,50268.8,20.0001,32.0,20
scx_flatcg,172,0.75,49978.5,20.0001,32.0,20
scx_flatcg,172,0.85,49154.9,20.0001,32.0,20
scx_flatcg,172,0.95,48656.0,20.0001,32.0,20
scx_flatcg,172,1.0,48774.6,20.0001,32.0,20
scx_lavd,172,0.0,36134.6,20.0001,32.0,20
scx_lavd,172,0.15,24272.5,20.0001,32.0,20
scx_lavd,172,0.25,47546.3,20.0001,32.0,20
scx_lavd,172,0.35,46899.2,20.0001,32.0,20
scx_lavd,172,0.45,52086.5,20.0001,32.0,20
scx_lavd,172,0.5,54800.9,20.0001,32.0,20
scx_lavd,172,0.55,54629.8,20.0001,32.0,20
scx_lavd,172,0.65,49471.1,20.0001,32.0,20
scx_lavd,172,0.75,8865.42,20.0001,32.0,20
scx_lavd,172,0.85,5754.95,20.0001,32.0,20
scx_lavd,172,0.95,6659.57,20.0001,32.0,20
scx_lavd,172,1.0,9902.86,20.0001,32.0,20
scx_layered,172,0.0,36169.3,20.0001,32.0,20
scx_layered,172,0.15,40820.0,20.0001,32.0,20
scx_layered,172,0.25,44304.3,20.0001,32.0,20
scx_layered,172,0.35,47664.3,20.0001,32.0,20
scx_layered,172,0.45,48169.0,20.0001,32.0,20
scx_layered,172,0.5,48184.1,20.0001,32.0,20
scx_layered,172,0.55,48073.6,20.0001,32.0,20
scx_layered,172,0.65,50633.9,20.0001,32.0,20
scx_layered,172,0.75,49988.5,20.0001,32.0,20
scx_layered,172,0.85,48896.5,20.0001,32.0,20
scx_layered,172,0.95,48667.5,20.0001,32.0,20
scx_layered,172,1.0,48796.6,20.0001,32.0,20
scx_mitosis,172,0.0,36191.3,20.0001,32.0,20
scx_mitosis,172,0.15,41043.4,20.0001,32.0,20
scx_mitosis,172,0.25,44215.7,20.0001,32.0,20
scx_mitosis,172,0.35,45874.9,20.0001,32.0,20
scx_mitosis,172,0.45,46858.7,20.0001,32.0,20
scx_mitosis,172,0.5,47668.7,20.0001,32.0,20
scx_mitosis,172,0.55,48098.1,20.0001,32.0,20
