scheduler,threads,read_ratio,bandwidth_mbps,execution_time,array_size_gb,duration
default,172,0.0,59039.7,20.0001,32.0,20
default,172,0.15,58014.2,20.0001,32.0,20
default,172,0.25,71887.1,20.0001,32.0,20
default,172,0.35,69301.7,20.0001,32.0,20
default,172,0.45,101855.0,20.0001,32.0,20
default,172,0.5,72158.1,20.0001,32.0,20
default,172,0.55,75379.6,20.0006,32.0,20
default,172,0.65,94905.5,20.0006,32.0,20
default,172,0.75,136779.0,20.0038,32.0,20
default,172,0.85,167624.0,20.0002,32.0,20
default,172,0.95,197014.0,20.0001,32.0,20
default,172,1.0,186591.0,20.0001,32.0,20
scx_bpfland,172,0.0,99504.7,20.0011,32.0,20
scx_bpfland,172,0.15,104631.0,20.001,32.0,20
scx_bpfland,172,0.25,99641.1,20.0007,32.0,20
scx_bpfland,172,0.35,127660.0,20.0009,32.0,20
scx_bpfland,172,0.45,157040.0,20.001,32.0,20
scx_bpfland,172,0.5,162941.0,20.0006,32.0,20
scx_bpfland,172,0.55,156277.0,20.0002,32.0,20
scx_bpfland,172,0.65,329913.0,20.0001,32.0,20
scx_bpfland,172,0.75,441128.0,20.0001,32.0,20
scx_bpfland,172,0.85,487664.0,20.0001,32.0,20
scx_bpfland,172,0.95,556496.0,20.0001,32.0,20
scx_bpfland,172,1.0,578836.0,20.0001,32.0,20
scx_central,172,0.0,88652.3,20.0001,32.0,20
scx_central,172,0.15,98127.4,20.0001,32.0,20
scx_central,172,0.25,73572.7,20.0004,32.0,20
scx_central,172,0.35,126758.0,20.0001,32.0,20
scx_central,172,0.45,125512.0,20.0004,32.0,20
scx_central,172,0.5,110323.0,20.0001,32.0,20
scx_central,172,0.55,109378.0,20.0001,32.0,20
scx_central,172,0.65,206444.0,20.0001,32.0,20
scx_central,172,0.75,228320.0,20.0001,32.0,20
scx_central,172,0.85,240424.0,20.0001,32.0,20
scx_central,172,0.95,261142.0,20.0001,32.0,20
scx_central,172,1.0,273505.0,20.0001,32.0,20
scx_chaos,172,0.0,46252.6,20.0001,32.0,20
scx_chaos,172,0.15,52953.1,20.0001,32.0,20
scx_chaos,172,0.25,57003.7,20.0001,32.0,20
scx_chaos,172,0.35,55761.1,20.0001,32.0,20
scx_chaos,172,0.45,71622.5,20.0001,32.0,20
scx_chaos,172,0.5,65999.6,20.0001,32.0,20
scx_chaos,172,0.55,73079.1,20.0001,32.0,20
scx_chaos,172,0.65,81004.0,20.0001,32.0,20
scx_chaos,172,0.75,227984.0,20.0001,32.0,20
scx_chaos,172,0.85,253940.0,20.0001,32.0,20
scx_chaos,172,0.95,380455.0,20.0001,32.0,20
scx_chaos,172,1.0,442862.0,20.0001,32.0,20
scx_flash,172,0.0,106338.0,20.0001,32.0,20
scx_flash,172,0.15,133005.0,20.0001,32.0,20
scx_flash,172,0.25,203938.0,20.0001,32.0,20
scx_flash,172,0.35,239238.0,20.0001,32.0,20
scx_flash,172,0.45,264990.0,20.0001,32.0,20
scx_flash,172,0.5,293301.0,20.0001,32.0,20
scx_flash,172,0.55,297435.0,20.0001,32.0,20
scx_flash,172,0.65,331343.0,20.0001,32.0,20
scx_flash,172,0.75,360509.0,20.0001,32.0,20
scx_flash,172,0.85,381667.0,20.0001,32.0,20
scx_flash,172,0.95,419510.0,20.0001,32.0,20
scx_flash,172,1.0,432513.0,20.0001,32.0,20
scx_flatcg,172,0.0,118294.0,20.0001,32.0,20
scx_flatcg,172,0.15,127372.0,20.0001,32.0,20
scx_flatcg,172,0.25,185930.0,20.0001,32.0,20
scx_flatcg,172,0.35,179514.0,20.0001,32.0,20
scx_flatcg,172,0.45,214334.0,20.0001,32.0,20
scx_flatcg,172,0.5,204133.0,20.0003,32.0,20
scx_flatcg,172,0.55,194177.0,20.0101,32.0,20
scx_flatcg,172,0.65,206262.0,20.0074,32.0,20
scx_flatcg,172,0.75,224276.0,20.0021,32.0,20
scx_flatcg,172,0.85,248487.0,20.0035,32.0,20
scx_flatcg,172,0.95,260538.0,20.0005,32.0,20
scx_flatcg,172,1.0,273519.0,20.0001,32.0,20
scx_lavd,172,0.0,98113.0,20.0002,32.0,20
scx_lavd,172,0.15,148940.0,20.0001,32.0,20
scx_lavd,172,0.25,81540.1,20.0002,32.0,20
scx_lavd,172,0.35,104495.0,20.0001,32.0,20
scx_lavd,172,0.45,145268.0,20.0001,32.0,20
scx_lavd,172,0.5,51283.6,20.0001,32.0,20
scx_lavd,172,0.55,43198.6,20.0001,32.0,20
scx_lavd,172,0.65,131748.0,20.0002,32.0,20
scx_lavd,172,0.75,142990.0,20.0001,32.0,20
scx_lavd,172,0.85,261036.0,20.001,32.0,20
scx_lavd,172,0.95,465715.0,20.0006,32.0,20
scx_lavd,172,1.0,292275.0,20.0001,32.0,20
scx_layered,172,0.0,15952.8,20.001,32.0,20
scx_layered,172,0.15,12667.1,20.0003,32.0,20
scx_layered,172,0.25,13505.2,20.0013,32.0,20
scx_layered,172,0.35,17981.4,20.0003,32.0,20
scx_layered,172,0.45,146938.0,20.0001,32.0,20
scx_layered,172,0.5,115789.0,20.0001,32.0,20
scx_layered,172,0.55,200003.0,20.0001,32.0,20
scx_layered,172,0.65,222843.0,20.0001,32.0,20
scx_layered,172,0.75,234066.0,20.0001,32.0,20
scx_layered,172,0.85,249352.0,20.0001,32.0,20
scx_layered,172,0.95,262766.0,20.0001,32.0,20
scx_layered,172,1.0,293745.0,20.0001,32.0,20
scx_mitosis,172,0.0,115855.0,20.0001,32.0,20
scx_mitosis,172,0.15,149196.0,20.0001,32.0,20
scx_mitosis,172,0.25,132625.0,20.0001,32.0,20
scx_mitosis,172,0.35,200804.0,20.0001,32.0,20
scx_mitosis,172,0.45,45051.9,20.0007,32.0,20
scx_mitosis,172,0.5,120296.0,20.0001,32.0,20
scx_mitosis,172,0.55,215145.0,20.0001,32.0,20
scx_mitosis,172,0.65,223667.0,20.0001,32.0,20
scx_mitosis,172,0.75,252360.0,20.0001,32.0,20
scx_mitosis,172,0.85,253959.0,20.0001,32.0,20
scx_mitosis,172,0.95,264520.0,20.0001,32.0,20
scx_mitosis,172,1.0,272299.0,20.0001,32.0,20
scx_nest,172,0.0,120954.0,20.0001,32.0,20
scx_nest,172,0.15,149926.0,20.0001,32.0,20
scx_nest,172,0.25,104887.0,20.0001,32.0,20
scx_nest,172,0.35,149522.0,20.0001,32.0,20
scx_nest,172,0.45,141290.0,20.0001,32.0,20
scx_nest,172,0.5,179770.0,20.0001,32.0,20
scx_nest,172,0.55,202025.0,20.0001,32.0,20
scx_nest,172,0.65,205286.0,20.0001,32.0,20
scx_nest,172,0.75,200556.0,20.0001,32.0,20
scx_nest,172,0.85,240471.0,20.0001,32.0,20
scx_nest,172,0.95,246766.0,20.0001,32.0,20
scx_nest,172,1.0,254639.0,20.0001,32.0,20
scx_p2dq,172,0.0,44992.1,20.0001,32.0,20
scx_p2dq,172,0.15,50424.2,20.0001,32.0,20
scx_p2dq,172,0.25,50842.7,20.0001,32.0,20
scx_p2dq,172,0.35,66743.4,20.0001,32.0,20
scx_p2dq,172,0.45,62065.0,20.0001,32.0,20
scx_p2dq,172,0.5,74234.4,20.0001,32.0,20
scx_p2dq,172,0.55,71094.1,20.0001,32.0,20
scx_p2dq,172,0.65,83689.4,20.0001,32.0,20
scx_p2dq,172,0.75,163054.0,20.0001,32.0,20
scx_p2dq,172,0.85,309265.0,20.0001,32.0,20
scx_p2dq,172,0.95,374443.0,20.0001,32.0,20
scx_p2dq,172,1.0,508592.0,20.0001,32.0,20
scx_pair,172,0.0,93307.7,20.0001,32.0,20
scx_pair,172,0.15,87449.8,20.0001,32.0,20
scx_pair,172,0.25,82202.3,20.0001,32.0,20
scx_pair,172,0.35,87178.6,20.0001,32.0,20
scx_pair,172,0.45,104844.0,20.0001,32.0,20
scx_pair,172,0.5,86743.3,20.0001,32.0,20
scx_pair,172,0.55,90244.7,20.0001,32.0,20
scx_pair,172,0.65,107746.0,20.0001,32.0,20
scx_pair,172,0.75,146491.0,20.0001,32.0,20
scx_pair,172,0.85,100679.0,20.0001,32.0,20
scx_pair,172,0.95,106524.0,20.0001,32.0,20
scx_pair,172,1.0,103433.0,20.0001,32.0,20
scx_prev,172,0.0,118401.0,20.0001,32.0,20
scx_prev,172,0.15,148964.0,20.0001,32.0,20
scx_prev,172,0.25,143222.0,20.0001,32.0,20
scx_prev,172,0.35,157336.0,20.0001,32.0,20
scx_prev,172,0.45,213566.0,20.0001,32.0,20
scx_prev,172,0.5,226616.0,20.0001,32.0,20
scx_prev,172,0.55,218119.0,20.0001,32.0,20
scx_prev,172,0.65,224838.0,20.0001,32.0,20
scx_prev,172,0.75,243221.0,20.0001,32.0,20
