scheduler,batch_size,threads,arithmetic_intensity,achieved_tflops,memory_bound_tflops,compute_bound_tflops,bottleneck,pp_tps,tg_tps,measured_bandwidth_gbps,bandwidth_utilization
default,32,8,2274.875269888723,563.4974003295011,0.44456022927113825,20.0,compute,198.2313,39.234289,0.19542180406791457,0.07101082996653872
default,32,16,2274.875269888723,882.1136524336819,0.6804679197968087,20.0,compute,289.367218,61.418388,0.2991231777863998,0.10869301518401156
default,32,32,2274.875269888723,1183.7590545071678,0.8767645852597755,20.0,compute,353.800864,82.420868,0.3854121572575991,0.140048022259302
default,64,8,2673.8943875061004,1140.0761914596387,0.4950854587244834,20.0,compute,164.170484,39.689694,0.18515520322634801,0.06728023373050437
default,64,16,2673.8943875061004,1790.6176438690225,0.822960207583971,20.0,compute,293.977064,62.33712,0.3077758835312614,0.11183716698083626
default,64,32,2673.8943875061004,2349.2508683227584,1.1062762579141652,20.0,compute,381.036184,81.784927,0.41373221885026346,0.15033874231477598
default,128,8,2930.9418498903333,2277.55411517193,0.26573159562488285,20.0,compute,158.191872,39.644467,0.09066423328556508,0.032944852211324524
default,128,16,2930.9418498903333,3604.215999950284,0.7445291372420232,20.0,compute,194.088106,62.737136,0.2540238515035299,0.0923051785986664
default,128,32,2930.9418498903333,4723.510128344404,1.2133161761776368,20.0,compute,393.923253,82.220238,0.41396801380519893,0.1504244236210752
default,256,8,3078.934277445278,4614.245463793548,0.5600135014607242,20.0,compute,164.432523,40.159156,0.18188550030544692,0.06609211493657229
default,256,16,3078.934277445278,7016.20396310256,0.7773025032837639,20.0,compute,191.068775,61.064118,0.25245829668333314,0.09173629966690885
default,256,32,3078.934277445278,9265.570317312247,0.9792243131159143,20.0,compute,245.550968,80.641025,0.3180400180313099,0.11556686701719109
default,512,8,3158.6800997391215,9136.095614193639,0.6482976298463262,20.0,compute,189.005934,39.757084,0.2052432058250754,0.07457965327946055
default,512,16,3158.6800997391215,14320.787783161652,0.8182391065057576,20.0,compute,194.747995,62.319046,0.2590446264480334,0.09412958809884935
default,512,32,3158.6800997391215,18826.759815776284,0.9956425621394838,20.0,compute,243.408202,81.927456,0.3152084195616121,0.11453794315465557
