scheduler,test_number,test_case,total_ops_per_sec,total_p50_latency_ms,total_p99_latency_ms,gets_ops_per_sec,gets_p50_latency_ms,gets_p99_latency_ms,sets_ops_per_sec,sets_p50_latency_ms,sets_p99_latency_ms,avg_latency_ms,bandwidth_kb_sec
default,1,mixed_1_10,0,0,0,4193352.45,2.367,4.351,419796.56,2.383,4.447,0,0
default,2,mixed_10_1,0,0,0,173629.57,3.615,4.863,1736486.72,3.615,4.831,0,0
default,3,pipeline_16,0,0,0,552506.03,3.375,7.167,552506.03,3.375,7.167,0,0
default,4,sequential_pattern,0,0,0,382783.91,3.375,4.767,382783.91,3.375,4.767,0,0
default,5,gaussian_pattern,0,0,0,389834.04,3.263,4.511,389834.04,3.263,4.511,0,0
default,6,advanced_gaussian_random,0,0,0,185791.93,8.447,9.983,185791.93,8.447,9.983,0,0
scx_bpfland,1,mixed_1_10,0,0,0,1425705.3,2.383,5.151,142727.37,2.383,5.183,0,0
scx_bpfland,2,mixed_10_1,0,0,0,65103.48,3.615,8.159,651106.41,3.615,8.159,0,0
scx_bpfland,3,pipeline_16,0,0,0,551395.58,3.391,6.047,551395.58,3.391,6.047,0,0
scx_bpfland,4,sequential_pattern,0,0,0,1011731.02,3.359,6.687,1011731.02,3.359,6.687,0,0
scx_bpfland,5,gaussian_pattern,0,0,0,1000838.2,3.279,7.583,1000838.2,3.279,7.583,0,0
scx_bpfland,6,advanced_gaussian_random,0,0,0,438023.03,8.255,15.807,438023.03,8.255,15.807,0,0
scx_central,1,mixed_1_10,0,0,0,2122232.66,3.247,5.055,212456.74,3.247,5.087,0,0
scx_central,2,mixed_10_1,0,0,0,64176.37,3.743,8.063,641834.31,3.743,8.063,0,0
scx_central,3,pipeline_16,0,0,0,365994.37,3.535,7.519,365994.37,3.535,7.519,0,0
scx_central,4,sequential_pattern,0,0,0,371952.89,3.503,5.567,371952.89,3.503,5.567,0,0
scx_central,5,gaussian_pattern,0,0,0,523140.46,3.503,6.207,523140.46,3.503,6.207,0,0
scx_central,6,advanced_gaussian_random,0,0,0,469088.26,8.191,11.455,469088.26,8.191,11.455,0,0
scx_chaos,1,mixed_1_10,0,0,0,1365772.3,2.431,4.799,136727.48,2.431,4.831,0,0
scx_chaos,2,mixed_10_1,0,0,0,96814.91,3.599,4.991,968255.57,3.599,5.023,0,0
scx_chaos,3,pipeline_16,0,0,0,1078921.29,3.295,6.911,1078921.29,3.295,6.911,0,0
scx_chaos,4,sequential_pattern,0,0,0,579005.83,3.311,4.479,579005.83,3.311,4.479,0,0
scx_chaos,5,gaussian_pattern,0,0,0,395712.06,3.215,4.287,395712.06,3.215,4.287,0,0
scx_chaos,6,advanced_gaussian_random,0,0,0,276636.01,8.159,9.855,276636.01,8.159,9.855,0,0
scx_flash,1,mixed_1_10,0,0,0,2452489.76,2.943,4.639,245518.78,2.943,4.703,0,0
scx_flash,2,mixed_10_1,0,0,0,119765.87,4.415,6.815,1197790.46,4.415,6.815,0,0
scx_flash,3,pipeline_16,0,0,0,452630.01,4.095,8.031,452630.01,4.095,8.031,0,0
scx_flash,4,sequential_pattern,0,0,0,326274.65,4.191,7.903,326274.65,4.191,7.903,0,0
scx_flash,5,gaussian_pattern,0,0,0,336493.66,3.999,7.743,336493.66,3.999,7.743,0,0
scx_flash,6,advanced_gaussian_random,0,0,0,197680.16,6.207,13.055,197680.16,6.207,13.055,0,0
scx_flatcg,1,mixed_1_10,0,0,0,1348869.82,2.479,4.703,135035.37,2.479,4.735,0,0
scx_flatcg,2,mixed_10_1,0,0,0,96524.52,3.519,7.551,965351.43,3.519,7.551,0,0
scx_flatcg,3,pipeline_16,0,0,0,571664.04,3.311,4.959,571664.04,3.311,4.959,0,0
scx_flatcg,4,sequential_pattern,0,0,0,1024363.64,3.311,7.167,1024363.64,3.311,7.167,0,0
scx_flatcg,5,gaussian_pattern,0,0,0,1139360.93,3.247,4.639,1139360.93,3.247,4.639,0,0
scx_flatcg,6,advanced_gaussian_random,0,0,0,178398.39,7.871,19.199,178398.39,7.871,19.199,0,0
scx_lavd,1,mixed_1_10,0,0,0,3391748.86,2.559,4.767,339548.02,2.559,4.799,0,0
scx_lavd,2,mixed_10_1,0,0,0,95627.42,3.615,5.311,956379.41,3.615,5.343,0,0
scx_lavd,3,pipeline_16,0,0,0,995786.99,3.423,7.167,995786.99,3.423,7.167,0,0
scx_lavd,4,sequential_pattern,0,0,0,557002.99,3.391,6.847,557002.99,3.391,6.847,0,0
scx_lavd,5,gaussian_pattern,0,0,0,377730.64,3.375,7.135,377730.64,3.375,7.135,0,0
scx_lavd,6,advanced_gaussian_random,0,0,0,267378.49,8.255,12.799,267378.49,8.255,12.735,0,0
scx_layered,1,mixed_1_10,0,0,0,3388619.48,2.623,5.055,339234.73,2.623,5.087,0,0
scx_layered,2,mixed_10_1,0,0,0,71129.4,3.247,5.311,711372.29,3.263,5.311,0,0
scx_layered,3,pipeline_16,0,0,0,1213490.37,3.055,6.335,1213490.37,3.055,6.335,0,0
scx_layered,4,sequential_pattern,0,0,0,1329754.82,2.959,5.919,1329754.82,2.959,5.919,0,0
scx_layered,5,gaussian_pattern,0,0,0,406386.77,3.055,5.023,406386.77,3.055,5.023,0,0
scx_layered,6,advanced_gaussian_random,0,0,0,184592.1,8.639,10.431,184592.1,8.639,10.431,0,0
scx_mitosis,1,mixed_1_10,0,0,0,3794113.35,2.367,4.223,379828.73,2.367,4.255,0,0
scx_mitosis,2,mixed_10_1,0,0,0,169126.11,3.615,5.279,1691447.18,3.615,5.279,0,0
scx_mitosis,3,pipeline_16,0,0,0,387606.54,3.327,4.479,387606.54,3.327,4.479,0,0
scx_mitosis,4,sequential_pattern,0,0,0,574937.88,3.279,5.119,574937.88,3.279,5.119,0,0
scx_mitosis,5,gaussian_pattern,0,0,0,1190654.55,3.151,5.407,1190654.55,3.151,5.407,0,0
scx_mitosis,6,advanced_gaussian_random,0,0,0,272862.09,8.255,10.431,272862.09,8.255,10.367,0,0
scx_nest,1,mixed_1_10,0,0,0,3267888.68,2.639,3.727,327148.37,2.639,3.791,0,0
scx_nest,2,mixed_10_1,0,0,0,146516.21,3.951,5.055,1465323.29,3.951,5.055,0,0
scx_nest,3,pipeline_16,0,0,0,934514.66,3.631,4.511,934514.66,3.631,4.511,0,0
scx_nest,4,sequential_pattern,0,0,0,958360.05,3.583,4.415,958360.05,3.583,4.415,0,0
scx_nest,5,gaussian_pattern,0,0,0,372395.1,3.535,4.415,372395.1,3.535,4.415,0,0
scx_nest,6,advanced_gaussian_random,0,0,0,210859.55,5.503,11.583,210859.55,5.503,11.519,0,0
scx_p2dq,1,mixed_1_10,0,0,0,3860296.07,2.399,4.159,386454.28,2.399,4.255,0,0
scx_p2dq,2,mixed_10_1,0,0,0,171791.84,3.647,4.959,1718107.36,3.647,4.927,0,0
scx_p2dq,3,pipeline_16,0,0,0,560675.61,3.375,4.767,560675.61,3.375,4.767,0,0
scx_p2dq,4,sequential_pattern,0,0,0,585925.77,3.231,6.335,585925.77,3.231,6.335,0,0
scx_p2dq,5,gaussian_pattern,0,0,0,389316.51,3.231,7.103,389316.51,3.231,7.103,0,0
scx_p2dq,6,advanced_gaussian_random,0,0,0,189831.43,8.319,9.727,189831.43,8.319,9.727,0,0
scx_pair,1,mixed_1_10,0,0,0,836745.94,2.495,4.607,83766.65,2.495,4.703,0,0
scx_pair,2,mixed_10_1,0,0,0,166395.01,3.679,5.599,1664133.16,3.679,5.663,0,0
scx_pair,3,pipeline_16,0,0,0,383847.2,3.391,4.927,383847.2,3.391,4.927,0,0
scx_pair,4,sequential_pattern,0,0,0,378590.58,3.423,6.527,378590.58,3.423,6.527,0,0
scx_pair,5,gaussian_pattern,0,0,0,574474.38,3.279,6.239,574474.38,3.279,6.239,0,0
scx_pair,6,advanced_gaussian_random,0,0,0,239551.37,7.903,9.663,239551.37,7.903,9.663,0,0
scx_prev,1,mixed_1_10,0,0,0,1312054.35,2.431,5.183,131349.78,2.431,5.215,0,0
scx_prev,2,mixed_10_1,0,0,0,93141.13,3.583,7.615,931513.77,3.583,7.615,0,0
scx_prev,3,pipeline_16,0,0,0,1095229.27,3.343,4.351,1095229.27,3.343,4.351,0,0
scx_prev,4,sequential_pattern,0,0,0,1139812.22,3.263,4.351,1139812.22,3.263,4.351,0,0
scx_prev,5,gaussian_pattern,0,0,0,553218.46,3.247,7.167,553218.46,3.247,7.167,0,0
scx_prev,6,advanced_gaussian_random,0,0,0,185944.8,8.383,9.855,185944.8,8.383,9.855,0,0
scx_qmap,1,mixed_1_10,0,0,0,1270439.51,2.447,5.599,127183.71,2.463,5.599,0,0
scx_qmap,2,mixed_10_1,0,0,0,89426.84,3.647,8.383,894366.8,3.647,8.383,0,0
scx_qmap,3,pipeline_16,0,0,0,830084.47,3.455,8.127,830084.47,3.455,8.127,0,0
scx_qmap,4,sequential_pattern,0,0,0,517244.28,3.343,7.839,517244.28,3.343,7.839,0,0
scx_qmap,5,gaussian_pattern,0,0,0,373446.7,3.247,7.487,373446.7,3.247,7.487,0,0
scx_qmap,6,advanced_gaussian_random,0,0,0,347148.09,8.575,14.399,347148.09,8.575,14.399,0,0
scx_rlfifo,1,mixed_1_10,0,0,0,845945.02,2.319,5.759,84687.57,2.319,5.791,0,0
scx_rlfifo,2,mixed_10_1,0,0,0,68061.55,3.583,7.839,680690.37,3.583,7.839,0,0
scx_rlfifo,3,pipeline_16,0,0,0,539034.64,3.359,7.807,539034.64,3.359,7.807,0,0
scx_rlfifo,4,sequential_pattern,0,0,0,1133432.38,3.263,4.511,1133432.38,3.263,4.511,0,0
scx_rlfifo,5,gaussian_pattern,0,0,0,832945.78,3.311,7.839,832945.78,3.311,7.839,0,0
scx_rlfifo,6,advanced_gaussian_random,0,0,0,474075.57,8.319,9.727,474075.57,8.319,9.727,0,0
scx_rustland,1,mixed_1_10,0,0,0,3888887.9,2.399,4.319,389316.61,2.399,4.415,0,0
scx_rustland,2,mixed_10_1,0,0,0,90038.96,3.695,8.319,900488.7,3.695,8.319,0,0
scx_rustland,3,pipeline_16,0,0,0,516812.78,3.439,7.871,516812.78,3.439,7.871,0,0
scx_rustland,4,sequential_pattern,0,0,0,559789.48,3.391,6.687,559789.48,3.391,6.687,0,0
scx_rustland,5,gaussian_pattern,0,0,0,565610.86,3.263,7.423,565610.86,3.263,7.423,0,0
scx_rustland,6,advanced_gaussian_random,0,0,0,221075.58,8.767,14.399,221075.58,8.767,14.399,0,0
scx_rusty,1,mixed_1_10,0,0,0,845687.93,2.495,4.255,84661.83,2.495,4.319,0,0
scx_rusty,2,mixed_10_1,0,0,0,65668.34,3.727,6.239,656755.61,3.727,6.207,0,0
scx_rusty,3,pipeline_16,0,0,0,382034.45,3.439,5.695,382034.45,3.439,5.695,0,0
scx_rusty,4,sequential_pattern,0,0,0,576427.85,3.327,5.279,576427.85,3.327,5.279,0,0
scx_rusty,5,gaussian_pattern,0,0,0,1128879.46,3.279,5.087,1128879.46,3.279,5.087,0,0
scx_rusty,6,advanced_gaussian_random,0,0,0,277953.94,7.263,17.919,277953.94,7.263,17.919,0,0
scx_sdt,1,mixed_1_10,0,0,0,1361582.72,2.447,4.447,136308.06,2.447,4.607,0,0
scx_sdt,2,mixed_10_1,0,0,0,177482.15,3.567,4.927,1775016.8,3.567,4.895,0,0
scx_sdt,3,pipeline_16,0,0,0,572611.7,3.327,4.735,572611.7,3.327,4.735,0,0
scx_sdt,4,sequential_pattern,0,0,0,388582.16,3.343,4.735,388582.16,3.343,4.735,0,0
scx_sdt,5,gaussian_pattern,0,0,0,555814.42,3.183,7.327,555814.42,3.183,7.327,0,0
scx_sdt,6,advanced_gaussian_random,0,0,0,189217.74,7.391,18.047,189217.74,7.359,18.047,0,0
scx_simple,1,mixed_1_10,0,0,0,3527192.01,2.447,4.607,353107.23,2.447,4.735,0,0
scx_simple,2,mixed_10_1,0,0,0,100897.93,3.455,5.055,1009090.34,3.455,5.055,0,0
scx_simple,3,pipeline_16,0,0,0,377392.55,3.295,7.295,377392.55,3.295,7.295,0,0
scx_simple,4,sequential_pattern,0,0,0,393656.49,3.247,4.479,393656.49,3.247,4.479,0,0
scx_simple,5,gaussian_pattern,0,0,0,398576.29,3.183,4.575,398576.29,3.183,4.575,0,0
scx_simple,6,advanced_gaussian_random,0,0,0,471479.05,7.711,18.943,471479.05,7.711,18.943,0,0
scx_tickless,1,mixed_1_10,0,0,0,1258552.46,2.687,5.631,125993.7,2.687,5.631,0,0
scx_tickless,2,mixed_10_1,0,0,0,71763.54,3.135,7.519,717714.3,3.135,7.519,0,0
scx_tickless,3,pipeline_16,0,0,0,397020.49,3.055,7.327,397020.49,3.055,7.327,0,0
scx_tickless,4,sequential_pattern,0,0,0,965920.71,2.975,6.975,965920.71,2.975,6.975,0,0
scx_tickless,5,gaussian_pattern,0,0,0,1290923.62,2.943,6.783,1290923.62,2.943,6.783,0,0
scx_tickless,6,advanced_gaussian_random,0,0,0,573190.18,5.183,12.415,573190.18,5.183,12.351,0,0
scx_userland,1,mixed_1_10,0,0,0,857663.82,2.207,4.863,85860.73,2.207,4.895,0,0
scx_userland,2,mixed_10_1,0,0,0,70724.85,3.231,6.463,707326.32,3.231,6.495,0,0
scx_userland,3,pipeline_16,0,0,0,398222.07,3.039,6.047,398222.07,3.039,6.047,0,0
scx_userland,4,sequential_pattern,0,0,0,610233.31,3.071,5.567,610233.31,3.071,5.567,0,0
scx_userland,5,gaussian_pattern,0,0,0,632882.69,2.975,5.375,632882.69,2.975,5.375,0,0
scx_userland,6,advanced_gaussian_random,0,0,0,117883.61,8.639,113.663,117883.61,8.639,113.663,0,0
