scheduler,data_size,test_name,throughput_rps,latency_avg,latency_p50,latency_p95,latency_p99,requests,clients,pipeline
default,1,SET,950570.31,0.801,0.799,0.839,1.671,1000000,50,16
default,1,GET,1085776.38,0.45,0.407,0.671,1.231,1000000,50,16
default,1,INCR,1052631.62,0.64,0.703,0.751,1.255,1000000,50,16
default,1,LPUSH,1034126.12,0.749,0.743,0.791,1.455,1000000,50,16
default,1,LPOP,861326.44,0.903,0.863,1.095,1.911,1000000,50,16
default,1,SADD,977517.12,0.791,0.775,1.015,1.423,1000000,50,16
default,1,HSET,919117.62,0.847,0.839,0.871,1.607,1000000,50,16
default,1,LPUSH (needed to benchmark LRANGE),943396.25,0.819,0.775,1.295,1.495,1000000,50,16
default,1,LRANGE_100 (first 100 elements),189753.31,4.101,4.111,4.183,7.623,1000000,50,16
default,1,LPUSH (needed to benchmark LRANGE),943396.25,0.825,0.783,1.047,1.735,1000000,50,16
default,1,LRANGE_300 (first 300 elements),46772.68,6.484,6.335,10.487,13.479,1000000,50,16
default,1,LPUSH (needed to benchmark LRANGE),862069.0,0.865,0.783,1.631,2.015,1000000,50,16
default,1,LRANGE_500 (first 500 elements),27442.37,9.203,8.471,15.671,18.495,1000000,50,16
default,1,LPUSH (needed to benchmark LRANGE),909090.94,0.786,0.775,0.927,1.271,1000000,50,16
default,1,LRANGE_600 (first 600 elements),21579.63,10.09,8.679,15.599,19.151,1000000,50,16
default,1,MSET (10 keys),295508.28,2.7,2.663,2.743,3.823,1000000,50,16
default,16,SET,945179.62,0.831,0.823,0.847,1.543,1000000,50,16
default,16,GET,1091703.0,0.664,0.695,0.735,1.207,1000000,50,16
default,16,INCR,1026694.06,0.752,0.743,0.775,1.447,1000000,50,16
default,16,LPUSH,835421.88,0.912,0.847,1.087,1.911,1000000,50,16
default,16,LPOP,874125.81,0.888,0.879,0.919,1.839,1000000,50,16
default,16,SADD,910746.75,0.86,0.791,1.063,1.815,1000000,50,16
default,16,HSET,865051.88,0.906,0.895,0.927,1.759,1000000,50,16
default,16,LPUSH (needed to benchmark LRANGE),813008.12,0.93,0.847,1.711,2.343,1000000,50,16
default,16,LRANGE_100 (first 100 elements),153139.36,4.624,4.791,6.551,7.631,1000000,50,16
default,16,LPUSH (needed to benchmark LRANGE),877193.0,0.875,0.839,1.087,1.615,1000000,50,16
default,16,LRANGE_300 (first 300 elements),40700.04,4.518,4.455,5.367,8.815,1000000,50,16
default,16,LPUSH (needed to benchmark LRANGE),819672.12,0.815,0.791,1.431,1.751,1000000,50,16
default,16,LRANGE_500 (first 500 elements),20964.36,5.739,5.407,7.031,13.599,1000000,50,16
default,16,LPUSH (needed to benchmark LRANGE),833333.38,0.785,0.775,1.327,1.431,1000000,50,16
default,16,LRANGE_600 (first 600 elements),17355.08,5.902,5.607,6.527,14.735,1000000,50,16
default,16,MSET (10 keys),264340.47,3.02,2.991,3.047,4.175,1000000,50,16
default,64,SET,851063.88,0.884,0.903,0.967,1.807,1000000,50,16
default,64,GET,1030927.81,0.719,0.711,0.967,1.327,1000000,50,16
default,64,INCR,1052631.62,0.74,0.735,0.759,1.423,1000000,50,16
default,64,LPUSH,931966.5,0.849,0.775,1.031,1.567,1000000,50,16
default,64,LPOP,719942.38,1.073,1.007,1.279,2.063,1000000,50,16
default,64,SADD,1014198.81,0.77,0.751,0.799,1.527,1000000,50,16
default,64,HSET,719942.38,1.09,1.007,1.295,2.063,1000000,50,16
default,64,LPUSH (needed to benchmark LRANGE),735294.06,0.996,0.967,1.319,1.951,1000000,50,16
default,64,LRANGE_100 (first 100 elements),112739.57,2.857,1.631,8.535,9.311,1000000,50,16
default,64,LPUSH (needed to benchmark LRANGE),709219.88,0.974,0.967,1.287,2.111,1000000,50,16
default,64,LRANGE_300 (first 300 elements),23239.6,3.163,3.023,4.055,5.351,1000000,50,16
default,64,LPUSH (needed to benchmark LRANGE),704225.31,1.004,0.975,1.735,1.863,1000000,50,16
default,64,LRANGE_500 (first 500 elements),13020.83,3.726,3.367,4.711,18.831,1000000,50,16
default,64,LPUSH (needed to benchmark LRANGE),724637.69,1.05,0.983,1.159,3.807,1000000,50,16
default,64,LRANGE_600 (first 600 elements),10392.85,4.04,3.503,5.023,24.959,1000000,50,16
default,64,MSET (10 keys),215238.92,3.71,3.687,3.783,4.783,1000000,50,16
default,256,SET,728863.0,1.064,1.047,1.143,2.127,1000000,50,16
default,256,GET,916590.31,0.641,0.463,1.015,1.143,1000000,50,16
default,256,INCR,1050420.12,0.744,0.735,0.775,1.351,1000000,50,16
default,256,LPUSH,620732.5,1.27,1.255,1.359,2.351,1000000,50,16
default,256,LPOP,707213.56,1.121,1.103,1.143,2.159,1000000,50,16
default,256,SADD,1005025.12,0.786,0.775,0.815,1.559,1000000,50,16
default,256,HSET,666666.69,1.164,1.183,1.471,2.247,1000000,50,16
